           1           1   4.1636013987578775E-002
           1           2   4.1108738448369403E-002
           1           3   4.1565483500086722E-002
           1           4   4.1901805749526524E-002
           1           5   4.1901805749526531E-002
           1           6   4.1565483500086729E-002
           1           7   4.1108738448369403E-002
           1           8   4.1636013987578775E-002
           2           1   2.8577581188062782E-002
           2           2   3.2277312609661303E-002
           2           3   3.4751991158017477E-002
           2           4   3.5976857353499210E-002
           2           5   3.5976857353499217E-002
           2           6   3.4751991158017491E-002
           2           7   3.2277312609661303E-002
           2           8   2.8577581188062799E-002
           3           1   1.6910986743287049E-002
           3           2   2.4670939644195519E-002
           3           3   2.9188311168822714E-002
           3           4   3.1276775152953608E-002
           3           5   3.1276775152953615E-002
           3           6   2.9188311168822714E-002
           3           7   2.4670939644195526E-002
           3           8   1.6910986743287042E-002
           4           1   1.0196965800713357E-002
           4           2   2.0307148055011031E-002
           4           3   2.6053538720124225E-002
           4           4   2.8665156936538923E-002
           4           5   2.8665156936538930E-002
           4           6   2.6053538720124229E-002
           4           7   2.0307148055011031E-002
           4           8   1.0196965800713357E-002
           5           1   1.0196965800713357E-002
           5           2   2.0307148055011038E-002
           5           3   2.6053538720124236E-002
           5           4   2.8665156936538937E-002
           5           5   2.8665156936538941E-002
           5           6   2.6053538720124236E-002
           5           7   2.0307148055011031E-002
           5           8   1.0196965800713357E-002
           6           1   1.6910986743287046E-002
           6           2   2.4670939644195537E-002
           6           3   2.9188311168822728E-002
           6           4   3.1276775152953643E-002
           6           5   3.1276775152953649E-002
           6           6   2.9188311168822735E-002
           6           7   2.4670939644195530E-002
           6           8   1.6910986743287049E-002
           7           1   2.8577581188062806E-002
           7           2   3.2277312609661331E-002
           7           3   3.4751991158017512E-002
           7           4   3.5976857353499245E-002
           7           5   3.5976857353499245E-002
           7           6   3.4751991158017519E-002
           7           7   3.2277312609661331E-002
           7           8   2.8577581188062813E-002
           8           1   4.1636013987578796E-002
           8           2   4.1108738448369431E-002
           8           3   4.1565483500086743E-002
           8           4   4.1901805749526573E-002
           8           5   4.1901805749526587E-002
           8           6   4.1565483500086778E-002
           8           7   4.1108738448369452E-002
           8           8   4.1636013987578817E-002
