           1           1  -4.2509191176470585E-003
           1           2  -1.2752757352941176E-002
           1           3  -2.0565257352941169E-002
           1           4  -2.4931066176470583E-002
           1           5  -2.4931066176470590E-002
           1           6  -2.0565257352941180E-002
           1           7  -1.2752757352941181E-002
           1           8  -4.2509191176470602E-003
           2           1  -1.2752757352941175E-002
           2           2  -3.8947610294117647E-002
           2           3  -6.5142463235294101E-002
           2           4  -7.9159007352941166E-002
           2           5  -7.9159007352941194E-002
           2           6  -6.5142463235294129E-002
           2           7  -3.8947610294117661E-002
           2           8  -1.2752757352941180E-002
           3           1  -2.0565257352941180E-002
           3           2  -6.5142463235294129E-002
           3           3 -0.12189797794117650     
           3           4 -0.14740349264705882     
           3           5 -0.14740349264705885     
           3           6 -0.12189797794117649     
           3           7  -6.5142463235294115E-002
           3           8  -2.0565257352941176E-002
           4           1  -2.4931066176470586E-002
           4           2  -7.9159007352941180E-002
           4           3 -0.14740349264705885     
           4           4 -0.17865349264705882     
           4           5 -0.17865349264705885     
           4           6 -0.14740349264705888     
           4           7  -7.9159007352941166E-002
           4           8  -2.4931066176470579E-002
           5           1  -2.4931066176470583E-002
           5           2  -7.9159007352941180E-002
           5           3 -0.14740349264705885     
           5           4 -0.17865349264705888     
           5           5 -0.17865349264705888     
           5           6 -0.14740349264705888     
           5           7  -7.9159007352941138E-002
           5           8  -2.4931066176470569E-002
           6           1  -2.0565257352941176E-002
           6           2  -6.5142463235294115E-002
           6           3 -0.12189797794117643     
           6           4 -0.14740349264705882     
           6           5 -0.14740349264705888     
           6           6 -0.12189797794117652     
           6           7  -6.5142463235294101E-002
           6           8  -2.0565257352941162E-002
           7           1  -1.2752757352941180E-002
           7           2  -3.8947610294117661E-002
           7           3  -6.5142463235294115E-002
           7           4  -7.9159007352941194E-002
           7           5  -7.9159007352941194E-002
           7           6  -6.5142463235294115E-002
           7           7  -3.8947610294117647E-002
           7           8  -1.2752757352941176E-002
           8           1  -4.2509191176470593E-003
           8           2  -1.2752757352941176E-002
           8           3  -2.0565257352941169E-002
           8           4  -2.4931066176470586E-002
           8           5  -2.4931066176470586E-002
           8           6  -2.0565257352941180E-002
           8           7  -1.2752757352941173E-002
           8           8  -4.2509191176470585E-003
